pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1370,4,-2.3167,1,-1.6074,4,1,3
1371,3,-1.9722,2,-1.2116,3,2,1
1372,4,-1.9766,2,-1.5763,4,2,2
1373,2,-1.965,2,-1.7254,2,2,0
1374,2,-2.7536,1,-1.8109,2,1,1
1375,3,-2.6122,1,-0.8445,3,1,2
1376,2,-0.9983,1,-1.9062,2,1,1
1377,2,-1.2079,0,,2,0,2
1378,2,-1.7509,1,-0.8575,2,1,1
1379,3,-1.5602,3,-1.0227,3,3,0
1380,3,-1.7906,4,-1.2467,4,3,1
1381,3,-1.6569,2,-2.2304,3,2,1
1382,2,-1.961,5,-1.1138,5,2,3
1383,2,-2.4387,5,-1.1664,5,2,3
1384,2,-2.5751,3,-1.7595,3,2,1
1385,2,-3.0449,2,-1.1385,2,2,0
1386,3,-2.2831,3,-1.2694,3,3,0
1387,3,-2.3018,5,-1.7164,5,3,2
1388,4,-2.3143,4,-1.3797,4,4,0
1389,3,-2.197,4,-1.5573,4,3,1
1390,3,-2.1361,2,-1.7602,3,2,1
1391,2,-1.9245,3,-1.6867,3,2,1
1392,2,-3.3214,2,-1.5192,2,2,0
1393,2,-2.77,2,-1.0846,2,2,0
1394,4,-2.0648,2,-1.2742,4,2,2
1395,3,-2.0473,3,-1.5058,3,3,0
1396,4,-2.9559,3,-1.9787,4,3,1
1397,4,-3.5231,3,-1.6822,4,3,1
1398,3,-1.9914,3,-1.433,3,3,0
1399,3,-1.9057,4,-1.8873,4,3,1
1400,2,-2.1003,5,-1.439,5,2,3
1401,3,-1.9363,5,-1.5678,5,3,2
1402,3,-2.2022,1,-1.3488,3,1,2
1403,3,-1.6903,3,-1.3852,3,3,0
1404,3,-1.502,2,-1.7938,3,2,1
1405,4,-1.3796,1,-1.5539,4,1,3
1406,2,-2.5995,2,-1.2819,2,2,0
1407,4,-2.5525,3,-1.8319,4,3,1
1408,2,-1.4139,1,-0.7889,2,1,1
1409,3,-1.8905,0,,3,0,3
1410,4,-1.5213,1,-0.8593,4,1,3
1411,4,-1.5434,4,-1.2865,4,4,0
1412,4,-1.2889,4,-1.544,4,4,0
1413,3,-1.6842,4,-1.2728,4,3,1
1414,2,-1.8256,5,-1.4917,5,2,3
1415,3,-1.8416,2,-1.46,3,2,1
1416,2,-1.8253,1,-1.3943,2,1,1
1417,3,-1.6769,2,-1.2186,3,2,1
1418,4,-1.9339,5,-1.3999,5,4,1
1419,3,-1.7011,4,-1.4058,4,3,1
1420,3,-1.8044,3,-1.553,3,3,0
1421,3,-1.2617,3,-1.4561,3,3,0
1422,2,-1.6294,2,-1.329,2,2,0
1423,3,-2.0371,2,-1.5616,3,2,1
1424,4,-2.1548,1,-1.475,4,1,3
1425,4,-1.9737,1,-1.5926,4,1,3
1426,3,-2.4757,2,-1.3852,3,2,1
1427,3,-1.9181,3,-2.0525,3,3,0
1428,4,-1.7616,3,-1.6346,4,3,1
1429,3,-1.5179,4,-1.2796,4,3,1
1430,3,-1.6563,3,-2.0303,3,3,0
1431,3,-1.9155,4,-1.4004,4,3,1
1432,2,-1.6853,5,-1.3595,5,2,3
1433,4,-1.593,3,-1.0698,4,3,1
1434,2,-1.9906,3,-1.2917,3,2,1
1435,4,-1.418,2,-1.2992,4,2,2
1436,3,-1.4896,2,-1.345,3,2,1
1437,2,-2.1609,2,-2.191,2,2,0
1438,4,-2.4557,3,-2.6169,4,3,1
1439,1,-1.0004,0,,1,0,1
1440,1,-1.2894,2,-0.898,2,1,1
1441,3,-1.2023,3,-1.3224,3,3,0
1442,3,-0.9542,3,-2.1466,3,3,0
1443,3,-0.934,5,-1.2206,5,3,2
1444,3,-1.4246,4,-1.5344,4,3,1
1445,3,-1.8793,2,-1.6265,3,2,1
1446,3,-1.3582,2,-1.0112,3,2,1
1447,3,-1.8192,2,-1.1018,3,2,1
1448,3,-1.6839,4,-1.3645,4,3,1
1449,4,-1.3876,3,-1.3516,4,3,1
1450,3,-1.6219,3,-1.4246,3,3,0
1451,3,-1.3392,3,-1.4689,3,3,0
1452,3,-1.4836,2,-1.3583,3,2,1
1453,3,-1.8569,2,-1.4118,3,2,1
1454,4,-1.5951,2,-1.0457,4,2,2
1455,3,-1.9756,3,-1.1177,3,3,0
1456,3,-2.5412,3,-1.5375,3,3,0
1457,3,-2.5317,3,-1.9202,3,3,0
1458,4,-1.7398,2,-1.8767,4,2,2
1459,3,-2.1086,3,-1.5156,3,3,0
1460,2,-1.9253,4,-1.727,4,2,2
1461,2,-1.6907,4,-1.6827,4,2,2
1462,2,-1.6909,4,-1.54,4,2,2
1463,3,-1.574,2,-1.2439,3,2,1
1464,4,-2.6445,1,-1.4133,4,1,3
1465,4,-1.2688,2,-1.3146,4,2,2
1466,3,-1.4639,3,-1.5049,3,3,0
1467,3,-1.7164,2,-2.3118,3,2,1
1468,4,-2.356,3,-2.7368,4,3,1
1469,0,,2,-1.2155,2,0,2
1470,1,-1.0932,2,-1.3784,2,1,1
