gate,model,method,method_id,direction,f_low,f_high,semitones,pct_deviance,trough_uv,n_agree,lit_deepest_uv,margin_uv
s2,wav2vec2-medium,method_1738,1738,regular,1600.0,2691.0,9.0008,68.1875,-2.2479,5,-2.081,-0.1668
s2,wav2vec2-medium,method_1848,1848,regular,2934.0,7611.0,16.5026,159.407,-2.2459,4,-2.081,-0.1648
s2,wav2vec2-medium,method_1874,1874,regular,3805.0,6979.0,10.5015,83.4166,-2.2367,5,-2.081,-0.1556
s2,wav2vec2-medium,method_1703_counter,1703,counter,1345.0,3200.0,15.0056,137.9182,-2.1793,3,-2.081,-0.0983
s2,wav2vec2-medium,method_1414,1414,regular,519.0,951.0,10.4845,83.237,-2.177,2,-2.081,-0.096
s2,wav2vec2-medium,method_1710,1710,regular,1345.0,5869.0,25.5061,336.3569,-2.1769,5,-2.081,-0.0959
s2,wav2vec2-medium,method_1568_counter,1568,counter,800.0,3200.0,24.0,300.0,-2.1696,2,-2.081,-0.0886
s2,wav2vec2-medium,method_1744_counter,1744,counter,1600.0,4525.0,17.9982,182.8125,-2.1662,4,-2.081,-0.0852
s2,wav2vec2-medium,method_1621_counter,1621,counter,951.0,4525.0,27.0048,375.8149,-2.1528,3,-2.081,-0.0718
s2,wav2vec2-medium,method_1783_counter,1783,counter,1903.0,7611.0,23.9977,299.9475,-2.1208,2,-2.081,-0.0398
s2,wav2vec2-medium,method_1750,1750,regular,1600.0,7611.0,27.0002,375.6875,-2.1037,6,-2.081,-0.0227
s2,wav2vec2-medium,method_1613,1613,regular,951.0,2263.0,15.0086,137.96,-2.103,5,-2.081,-0.022
